,,,Cell Identity_0,,,,R0 RSRP_0,,,,R0 RS-CINR_0,,,,R0 RSRQ_0
45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,
45967.92628,-97.33805169,49.88254473,411,45967.92628,-97.33805169,49.88254473,-123.89,45967.92628,-97.33805169,49.88254473,-14.96,45967.92628,-97.33805169,49.88254473,-25.9
45967.9263,-97.33805169,49.88254473,411,45967.9263,-97.33805169,49.88254473,-124.22,45967.9263,-97.33805169,49.88254473,-13.2,45967.9263,-97.33805169,49.88254473,-24.46
45967.92631,-97.33805169,49.88254473,411,45967.92631,-97.33805169,49.88254473,-132.8,45967.92631,-97.33805169,49.88254473,-14.4,45967.92631,-97.33805169,49.88254473,-25.37
45967.92632,-97.33805169,49.88254473,411,45967.92632,-97.33805169,49.88254473,-116.5,45967.92632,-97.33805169,49.88254473,-10.41,45967.92632,-97.33805169,49.88254473,-21.59
45967.92633,-97.33805169,49.88254473,411,45967.92633,-97.33805169,49.88254473,-127.79,45967.92633,-97.33805169,49.88254473,-14.1,45967.92633,-97.33805169,49.88254473,-25.63
45967.92634,-97.33805169,49.88254473,411,45967.92634,-97.33805169,49.88254473,-126.89,45967.92634,-97.33805169,49.88254473,-14.13,45967.92634,-97.33805169,49.88254473,-25.1
45967.92635,-97.33805169,49.88254473,411,45967.92635,-97.33805169,49.88254473,-122.51,45967.92635,-97.33805169,49.88254473,-11.72,45967.92635,-97.33805169,49.88254473,-22.94
45967.92637,-97.33805169,49.88254473,411,45967.92637,-97.33805169,49.88254473,-124,45967.92637,-97.33805169,49.88254473,-12.74,45967.92637,-97.33805169,49.88254473,-23.92
45967.92638,-97.33805169,49.88254473,411,45967.92638,-97.33805169,49.88254473,-119.98,45967.92638,-97.33805169,49.88254473,-10.32,45967.92638,-97.33805169,49.88254473,-21.51
