,,,Cell Identity_0,,,,R0 RSRP_0,,,,R0 RS-CINR_0,,,,R0 RSRQ_0
45967.92659,-97.33805169,49.88254473,221,45967.92659,-97.33805169,49.88254473,-85.17,45967.92659,-97.33805169,49.88254473,12.88,45967.92659,-97.33805169,49.88254473,-10.75
45967.9266,-97.33805169,49.88254473,221,45967.9266,-97.33805169,49.88254473,-83.85,45967.9266,-97.33805169,49.88254473,12.49,45967.9266,-97.33805169,49.88254473,-9.2
45967.92661,-97.33805169,49.88254473,221,45967.92661,-97.33805169,49.88254473,-83.73,45967.92661,-97.33805169,49.88254473,14.19,45967.92661,-97.33805169,49.88254473,-8.38
45967.92662,-97.33804912,49.88254661,221,45967.92662,-97.33804912,49.88254661,-83.49,45967.92662,-97.33804912,49.88254661,12.3,45967.92662,-97.33804912,49.88254661,-7.32
45967.92663,-97.33804214,49.88255171,221,45967.92663,-97.33804214,49.88255171,-75.55,45967.92663,-97.33804214,49.88255171,11.39,45967.92663,-97.33804214,49.88255171,-8.35
45967.92664,-97.33803591,49.88255627,221,45967.92664,-97.33803591,49.88255627,-80.5,45967.92664,-97.33803591,49.88255627,13.6,45967.92664,-97.33803591,49.88255627,-9.06
45967.92665,-97.33803151,49.88255949,221,45967.92665,-97.33803151,49.88255949,-82.11,45967.92665,-97.33803151,49.88255949,12.22,45967.92665,-97.33803151,49.88255949,-8.92
45967.92667,-97.33802328,49.88256551,221,45967.92667,-97.33802328,49.88256551,-77.76,45967.92667,-97.33802328,49.88256551,14.06,45967.92667,-97.33802328,49.88256551,-10.9
45967.92668,-97.33801707,49.88257006,221,45967.92668,-97.33801707,49.88257006,-78.91,45967.92668,-97.33801707,49.88257006,13.88,45967.92668,-97.33801707,49.88257006,-9.81
45967.92669,-97.33801476,49.8825744,221,45967.92669,-97.33801476,49.8825744,-84.88,45967.92669,-97.33801476,49.8825744,11.25,45967.92669,-97.33801476,49.8825744,-7.53
45967.9267,-97.33801602,49.88257832,221,45967.9267,-97.33801602,49.88257832,-75.78,45967.9267,-97.33801602,49.88257832,11.05,45967.9267,-97.33801602,49.88257832,-9.02
45967.92671,-97.33801737,49.88258252,221,45967.92671,-97.33801737,49.88258252,-82.07,45967.92671,-97.33801737,49.88258252,10.63,45967.92671,-97.33801737,49.88258252,-8.33
45967.92672,-97.33801839,49.8825857,221,45967.92672,-97.33801839,49.8825857,-80.35,45967.92672,-97.33801839,49.8825857,12.92,45967.92672,-97.33801839,49.8825857,-10.01
45967.92674,-97.33802004,49.88259085,221,45967.92674,-97.33802004,49.88259085,-72.53,45967.92674,-97.33802004,49.88259085,12.5,45967.92674,-97.33802004,49.88259085,-8.38
45967.92675,-97.33802133,49.8825949,221,45967.92675,-97.33802133,49.8825949,-72.19,45967.92675,-97.33802133,49.8825949,13.93,45967.92675,-97.33802133,49.8825949,-8.24
45967.92676,-97.33802255,49.88259868,221,45967.92676,-97.33802255,49.88259868,-80.08,45967.92676,-97.33802255,49.88259868,11.64,45967.92676,-97.33802255,49.88259868,-9.57
45967.92677,-97.33802387,49.8826028,221,45967.92677,-97.33802387,49.8826028,-78.3,45967.92677,-97.33802387,49.8826028,10.14,45967.92677,-97.33802387,49.8826028,-10.69
45967.92678,-97.33802528,49.8826072,221,45967.92678,-97.33802528,49.8826072,-77.62,45967.92678,-97.33802528,49.8826072,13.53,45967.92678,-97.33802528,49.8826072,-9.29
45967.92679,-97.3380265,49.88261101,221,45967.92679,-97.3380265,49.88261101,-77.21,45967.92679,-97.3380265,49.88261101,12.94,45967.92679,-97.3380265,49.88261101,-8.74
45967.92681,-97.33802781,49.88261509,221,45967.92681,-97.33802781,49.88261509,-77.98,45967.92681,-97.33802781,49.88261509,11.56,45967.92681,-97.33802781,49.88261509,-9.05
45967.92682,-97.33802972,49.88261862,221,45967.92682,-97.33802972,49.88261862,-75.2,45967.92682,-97.33802972,49.88261862,9.95,45967.92682,-97.33802972,49.88261862,-8.76
45967.92683,-97.33803235,49.88262078,221,45967.92683,-97.33803235,49.88262078,-79.23,45967.92683,-97.33803235,49.88262078,9.83,45967.92683,-97.33803235,49.88262078,-8.69
45967.92684,-97.33803478,49.88262276,221,45967.92684,-97.33803478,49.88262276,-75.21,45967.92684,-97.33803478,49.88262276,10.88,45967.92684,-97.33803478,49.88262276,-8.35
45967.92685,-97.33803672,49.88262435,221,45967.92685,-97.33803672,49.88262435,-75.23,45967.92685,-97.33803672,49.88262435,11.98,45967.92685,-97.33803672,49.88262435,-8.35
45967.92686,-97.33803988,49.88262694,221,45967.92686,-97.33803988,49.88262694,-73.75,45967.92686,-97.33803988,49.88262694,12.38,45967.92686,-97.33803988,49.88262694,-9.07
45967.92687,-97.33804244,49.88262904,221,45967.92687,-97.33804244,49.88262904,-76.74,45967.92687,-97.33804244,49.88262904,11.32,45967.92687,-97.33804244,49.88262904,-8.86
45967.92689,-97.33804502,49.88263114,221,45967.92689,-97.33804502,49.88263114,-78.12,45967.92689,-97.33804502,49.88263114,13.73,45967.92689,-97.33804502,49.88263114,-13.3
45967.9269,-97.33804771,49.88263335,221,45967.9269,-97.33804771,49.88263335,-79.19,45967.9269,-97.33804771,49.88263335,13.81,45967.9269,-97.33804771,49.88263335,-9.47
45967.92691,-97.33805504,49.88263392,221,45967.92691,-97.33805504,49.88263392,-80.47,45967.92691,-97.33805504,49.88263392,11.8,45967.92691,-97.33805504,49.88263392,-8.71
45967.92692,-97.33807743,49.88262975,221,45967.92692,-97.33807743,49.88262975,-80.65,45967.92692,-97.33807743,49.88262975,11.14,45967.92692,-97.33807743,49.88262975,-9.36
45967.92693,-97.33809665,49.88262495,221,45967.92693,-97.33809665,49.88262495,-79.66,45967.92693,-97.33809665,49.88262495,13.37,45967.92693,-97.33809665,49.88262495,-8.95
45967.92694,-97.33809397,49.88261828,221,45967.92694,-97.33809397,49.88261828,-78.43,45967.92694,-97.33809397,49.88261828,12.7,45967.92694,-97.33809397,49.88261828,-10.98
45967.92696,-97.3380909,49.88261065,221,45967.92696,-97.3380909,49.88261065,-78.69,45967.92696,-97.3380909,49.88261065,14.72,45967.92696,-97.3380909,49.88261065,-8.11
45967.92697,-97.33808819,49.88260392,221,45967.92697,-97.33808819,49.88260392,-77.24,45967.92697,-97.33808819,49.88260392,16.27,45967.92697,-97.33808819,49.88260392,-9.39
45967.92698,-97.3380859,49.88259821,221,45967.92698,-97.3380859,49.88259821,-83.54,45967.92698,-97.3380859,49.88259821,10.66,45967.92698,-97.3380859,49.88259821,-9.91
45967.92699,-97.3380823,49.88258926,221,45967.92699,-97.3380823,49.88258926,-80.68,45967.92699,-97.3380823,49.88258926,11.98,45967.92699,-97.3380823,49.88258926,-13.07
45967.927,-97.3380793,49.8825818,221,45967.927,-97.3380793,49.8825818,-80.33,45967.927,-97.3380793,49.8825818,13.58,45967.927,-97.3380793,49.8825818,-7.71
45967.92701,-97.33808241,49.88257856,221,45967.92701,-97.33808241,49.88257856,-86.01,45967.92701,-97.33808241,49.88257856,11.01,45967.92701,-97.33808241,49.88257856,-8.85
45967.92702,-97.33809173,49.88257832,221,45967.92702,-97.33809173,49.88257832,-84.97,45967.92702,-97.33809173,49.88257832,12.35,45967.92702,-97.33809173,49.88257832,-7.71
45967.92704,-97.33810086,49.88257809,221,45967.92704,-97.33810086,49.88257809,-81.79,45967.92704,-97.33810086,49.88257809,13,45967.92704,-97.33810086,49.88257809,-9.65
45967.92705,-97.33810939,49.88257787,221,45967.92705,-97.33810939,49.88257787,-80.11,45967.92705,-97.33810939,49.88257787,13.88,45967.92705,-97.33810939,49.88257787,-9.94
45967.92706,-97.33811838,49.88257765,221,45967.92706,-97.33811838,49.88257765,-86.59,45967.92706,-97.33811838,49.88257765,10.63,45967.92706,-97.33811838,49.88257765,-9.56
45967.92707,-97.3381273,49.88257742,221,45967.92707,-97.3381273,49.88257742,-85.39,45967.92707,-97.3381273,49.88257742,14.04,45967.92707,-97.3381273,49.88257742,-9.75
45967.92708,-97.33813587,49.8825772,221,45967.92708,-97.33813587,49.8825772,-86.61,45967.92708,-97.33813587,49.8825772,12.36,45967.92708,-97.33813587,49.8825772,-9.58
45967.92709,-97.33814469,49.88257698,221,45967.92709,-97.33814469,49.88257698,-81.01,45967.92709,-97.33814469,49.88257698,14.12,45967.92709,-97.33814469,49.88257698,-11.27
45967.92711,-97.33815529,49.88257454,221,45967.92711,-97.33815529,49.88257454,-85.37,45967.92711,-97.33815529,49.88257454,10.98,45967.92711,-97.33815529,49.88257454,-10.12
45967.92712,-97.33817487,49.88256885,221,45967.92712,-97.33817487,49.88256885,-84.36,45967.92712,-97.33817487,49.88256885,12.76,45967.92712,-97.33817487,49.88256885,-8.61
45967.92713,-97.33819155,49.882564,221,45967.92713,-97.33819155,49.882564,-79.17,45967.92713,-97.33819155,49.882564,11.9,45967.92713,-97.33819155,49.882564,-10.24
45967.92714,-97.33820753,49.88255936,221,45967.92714,-97.33820753,49.88255936,-88.63,45967.92714,-97.33820753,49.88255936,12.39,45967.92714,-97.33820753,49.88255936,-9.93
45967.92715,-97.33821611,49.88256786,221,45967.92715,-97.33821611,49.88256786,-85.04,45967.92715,-97.33821611,49.88256786,7.27,45967.92715,-97.33821611,49.88256786,-9.51
45967.92716,-97.33822283,49.88257989,221,45967.92716,-97.33822283,49.88257989,-78.54,45967.92716,-97.33822283,49.88257989,12.55,45967.92716,-97.33822283,49.88257989,-7.89
45967.92718,-97.33822867,49.88259096,221,45967.92718,-97.33822867,49.88259096,-81.89,45967.92718,-97.33822867,49.88259096,12.06,45967.92718,-97.33822867,49.88259096,-8.81
45967.92719,-97.33822279,49.88259142,221,45967.92719,-97.33822279,49.88259142,-82.83,45967.92719,-97.33822279,49.88259142,12.95,45967.92719,-97.33822279,49.88259142,-9.17
45967.9272,-97.33821689,49.88259189,221,45967.9272,-97.33821689,49.88259189,-80.57,45967.9272,-97.33821689,49.88259189,11.72,45967.9272,-97.33821689,49.88259189,-8.66
45967.92721,-97.3382112,49.88259234,221,45967.92721,-97.3382112,49.88259234,-88.58,45967.92721,-97.3382112,49.88259234,12.05,45967.92721,-97.3382112,49.88259234,-10.43
45967.92722,-97.33820567,49.88259277,221,45967.92722,-97.33820567,49.88259277,-87.92,45967.92722,-97.33820567,49.88259277,9.4,45967.92722,-97.33820567,49.88259277,-8.95
45967.92723,-97.33820169,49.88259308,221,45967.92723,-97.33820169,49.88259308,-79.4,45967.92723,-97.33820169,49.88259308,13.17,45967.92723,-97.33820169,49.88259308,-10.38
45967.92724,-97.33819452,49.88259365,221,45967.92724,-97.33819452,49.88259365,-80.69,45967.92724,-97.33819452,49.88259365,9.69,45967.92724,-97.33819452,49.88259365,-9.72
45967.92726,-97.33818857,49.88259412,221,45967.92726,-97.33818857,49.88259412,-80.86,45967.92726,-97.33818857,49.88259412,11.61,45967.92726,-97.33818857,49.88259412,-8.3
45967.92727,-97.33818093,49.88259487,221,45967.92727,-97.33818093,49.88259487,-84.68,45967.92727,-97.33818093,49.88259487,9.99,45967.92727,-97.33818093,49.88259487,-9.62
45967.92728,-97.33816658,49.88259679,221,45967.92728,-97.33816658,49.88259679,-85.66,45967.92728,-97.33816658,49.88259679,14.06,45967.92728,-97.33816658,49.88259679,-10.54
45967.92729,-97.33815089,49.88259889,221,45967.92729,-97.33815089,49.88259889,-85.12,45967.92729,-97.33815089,49.88259889,11.2,45967.92729,-97.33815089,49.88259889,-7.78
45967.9273,-97.33813574,49.88260092,221,45967.9273,-97.33813574,49.88260092,-83.55,45967.9273,-97.33813574,49.88260092,11.78,45967.9273,-97.33813574,49.88260092,-9.62
45967.92731,-97.33812377,49.88260252,221,45967.92731,-97.33812377,49.88260252,-81.84,45967.92731,-97.33812377,49.88260252,14.04,45967.92731,-97.33812377,49.88260252,-8.7
45967.92733,-97.33811176,49.88260413,221,45967.92733,-97.33811176,49.88260413,-86.72,45967.92733,-97.33811176,49.88260413,10.82,45967.92733,-97.33811176,49.88260413,-9.76
45967.92734,-97.33809921,49.88260581,221,45967.92734,-97.33809921,49.88260581,-83.08,45967.92734,-97.33809921,49.88260581,13.55,45967.92734,-97.33809921,49.88260581,-10.38
45967.92735,-97.33808771,49.88260735,221,45967.92735,-97.33808771,49.88260735,-83.02,45967.92735,-97.33808771,49.88260735,12.95,45967.92735,-97.33808771,49.88260735,-9.48
45967.92736,-97.33808083,49.88261043,221,45967.92736,-97.33808083,49.88261043,-82.97,45967.92736,-97.33808083,49.88261043,12.79,45967.92736,-97.33808083,49.88261043,-8
45967.92737,-97.33809059,49.88263018,221,45967.92737,-97.33809059,49.88263018,-80.54,45967.92737,-97.33809059,49.88263018,11.26,45967.92737,-97.33809059,49.88263018,-8.96
45967.92738,-97.33809782,49.88264481,221,45967.92738,-97.33809782,49.88264481,-83.05,45967.92738,-97.33809782,49.88264481,11.96,45967.92738,-97.33809782,49.88264481,-9.45
45967.9274,-97.33810804,49.88265164,221,45967.9274,-97.33810804,49.88265164,-78.22,45967.9274,-97.33810804,49.88265164,11.62,45967.9274,-97.33810804,49.88265164,-8.47
45967.92741,-97.33812029,49.88264911,221,45967.92741,-97.33812029,49.88264911,-76.66,45967.92741,-97.33812029,49.88264911,12.92,45967.92741,-97.33812029,49.88264911,-8.91
45967.92742,-97.33813451,49.88264618,221,45967.92742,-97.33813451,49.88264618,-77.13,45967.92742,-97.33813451,49.88264618,14.24,45967.92742,-97.33813451,49.88264618,-8.68
45967.92743,-97.33814767,49.88264346,221,45967.92743,-97.33814767,49.88264346,-73.82,45967.92743,-97.33814767,49.88264346,13.97,45967.92743,-97.33814767,49.88264346,-9.06
45967.92744,-97.33816144,49.88264062,221,45967.92744,-97.33816144,49.88264062,-70.68,45967.92744,-97.33816144,49.88264062,15.77,45967.92744,-97.33816144,49.88264062,-9.24
45967.92745,-97.33817273,49.88263851,221,45967.92745,-97.33817273,49.88263851,-75,45967.92745,-97.33817273,49.88263851,12.6,45967.92745,-97.33817273,49.88263851,-11.31
45967.92746,-97.33818419,49.88263742,221,45967.92746,-97.33818419,49.88263742,-79.68,45967.92746,-97.33818419,49.88263742,11,45967.92746,-97.33818419,49.88263742,-10.53
45967.92748,-97.33819547,49.88263636,221,45967.92748,-97.33819547,49.88263636,-79.58,45967.92748,-97.33819547,49.88263636,13.21,45967.92748,-97.33819547,49.88263636,-11.85
45967.92749,-97.33820423,49.88263553,221,45967.92749,-97.33820423,49.88263553,-84.78,45967.92749,-97.33820423,49.88263553,13.54,45967.92749,-97.33820423,49.88263553,-9.87
45967.9275,-97.33821807,49.88263421,221,45967.9275,-97.33821807,49.88263421,-83.87,45967.9275,-97.33821807,49.88263421,8.79,45967.9275,-97.33821807,49.88263421,-10.2
45967.92751,-97.33822906,49.88263317,221,45967.92751,-97.33822906,49.88263317,-79.73,45967.92751,-97.33822906,49.88263317,14.03,45967.92751,-97.33822906,49.88263317,-9.72
45967.92752,-97.33824042,49.88263162,221,45967.92752,-97.33824042,49.88263162,-81.45,45967.92752,-97.33824042,49.88263162,12.1,45967.92752,-97.33824042,49.88263162,-13.64
45967.92753,-97.33825209,49.88262956,221,45967.92753,-97.33825209,49.88262956,-85.67,45967.92753,-97.33825209,49.88262956,12.9,45967.92753,-97.33825209,49.88262956,-14.1
45967.92755,-97.33826338,49.88262757,221,45967.92755,-97.33826338,49.88262757,-82.2,45967.92755,-97.33826338,49.88262757,11.55,45967.92755,-97.33826338,49.88262757,-10.8
45967.92756,-97.33827161,49.88262612,221,45967.92756,-97.33827161,49.88262612,-84.66,45967.92756,-97.33827161,49.88262612,14.9,45967.92756,-97.33827161,49.88262612,-12.75
45967.92757,-97.33828569,49.88262363,221,45967.92757,-97.33828569,49.88262363,-82.04,45967.92757,-97.33828569,49.88262363,11.33,45967.92757,-97.33828569,49.88262363,-13.86
45967.92758,-97.3382942,49.88262217,221,45967.92758,-97.3382942,49.88262217,-82.69,45967.92758,-97.3382942,49.88262217,13.51,45967.92758,-97.3382942,49.88262217,-11.94
45967.92759,-97.33829832,49.88262162,221,45967.92759,-97.33829832,49.88262162,-86.12,45967.92759,-97.33829832,49.88262162,13.93,45967.92759,-97.33829832,49.88262162,-11.87
45967.9276,-97.33830238,49.88262108,221,45967.9276,-97.33830238,49.88262108,-84.41,45967.9276,-97.33830238,49.88262108,13.91,45967.9276,-97.33830238,49.88262108,-9.76
45967.92762,-97.33830601,49.88262059,221,45967.92762,-97.33830601,49.88262059,-87.08,45967.92762,-97.33830601,49.88262059,15.62,45967.92762,-97.33830601,49.88262059,-11.32
45967.92763,-97.33830916,49.88262017,221,45967.92763,-97.33830916,49.88262017,-86.65,45967.92763,-97.33830916,49.88262017,13.36,45967.92763,-97.33830916,49.88262017,-12.55
45967.92764,-97.33831409,49.88261951,221,45967.92764,-97.33831409,49.88261951,-88.67,45967.92764,-97.33831409,49.88261951,11.55,45967.92764,-97.33831409,49.88261951,-12.89
45967.92765,-97.33831792,49.882619,221,45967.92765,-97.33831792,49.882619,-91.04,45967.92765,-97.33831792,49.882619,11.15,45967.92765,-97.33831792,49.882619,-12.53
45967.92766,-97.33831997,49.88261069,221,45967.92766,-97.33831997,49.88261069,-83.6,45967.92766,-97.33831997,49.88261069,10.05,45967.92766,-97.33831997,49.88261069,-13.45
45967.92767,-97.33832116,49.88259844,221,45967.92767,-97.33832116,49.88259844,-84.12,45967.92767,-97.33832116,49.88259844,10.24,45967.92767,-97.33832116,49.88259844,-13.14
45967.92768,-97.338323,49.88259032,221,45967.92768,-97.338323,49.88259032,-89.44,45967.92768,-97.338323,49.88259032,9.9,45967.92768,-97.338323,49.88259032,-13.45
45967.9277,-97.33832654,49.88258821,221,45967.9277,-97.33832654,49.88258821,-82.95,45967.9277,-97.33832654,49.88258821,12.21,45967.9277,-97.33832654,49.88258821,-12.46
45967.92771,-97.33832991,49.88258621,221,45967.92771,-97.33832991,49.88258621,-84.4,45967.92771,-97.33832991,49.88258621,13.75,45967.92771,-97.33832991,49.88258621,-10.25
45967.92772,-97.33833298,49.88258438,221,45967.92772,-97.33833298,49.88258438,-86.58,45967.92772,-97.33833298,49.88258438,10.11,45967.92772,-97.33833298,49.88258438,-12.4
45967.92773,-97.3383364,49.88258235,221,45967.92773,-97.3383364,49.88258235,-83.32,45967.92773,-97.3383364,49.88258235,11.3,45967.92773,-97.3383364,49.88258235,-12.12
45967.92774,-97.33834118,49.88258816,221,45967.92774,-97.33834118,49.88258816,-80.94,45967.92774,-97.33834118,49.88258816,11.29,45967.92774,-97.33834118,49.88258816,-11.67
45967.92775,-97.33834525,49.88259728,221,45967.92775,-97.33834525,49.88259728,-88.05,45967.92775,-97.33834525,49.88259728,12.51,45967.92775,-97.33834525,49.88259728,-11.55
45967.92777,-97.33835196,49.88261217,221,45967.92777,-97.33835196,49.88261217,-79.8,45967.92777,-97.33835196,49.88261217,12.89,45967.92777,-97.33835196,49.88261217,-10.95
45967.92778,-97.33835362,49.88261439,221,45967.92778,-97.33835362,49.88261439,-83.1,45967.92778,-97.33835362,49.88261439,14.51,45967.92778,-97.33835362,49.88261439,-10.14
45967.92779,-97.33835522,49.88261653,221,45967.92779,-97.33835522,49.88261653,-84.82,45967.92779,-97.33835522,49.88261653,14.48,45967.92779,-97.33835522,49.88261653,-11.83
45967.9278,-97.3383569,49.88261878,221,45967.9278,-97.3383569,49.88261878,-83.91,45967.9278,-97.3383569,49.88261878,12.5,45967.9278,-97.3383569,49.88261878,-9.98
45967.92781,-97.33835859,49.88262105,221,45967.92781,-97.33835859,49.88262105,-88.99,45967.92781,-97.33835859,49.88262105,10.68,45967.92781,-97.33835859,49.88262105,-12.58
45967.92782,-97.33837214,49.88261806,221,45967.92782,-97.33837214,49.88261806,-86.75,45967.92782,-97.33837214,49.88261806,15.2,45967.92782,-97.33837214,49.88261806,-11.35
45967.92784,-97.3383846,49.88261532,221,45967.92784,-97.3383846,49.88261532,-85.92,45967.92784,-97.3383846,49.88261532,10.76,45967.92784,-97.3383846,49.88261532,-10.8
45967.92785,-97.33839161,49.88262124,221,45967.92785,-97.33839161,49.88262124,-85.87,45967.92785,-97.33839161,49.88262124,13.88,45967.92785,-97.33839161,49.88262124,-11.46
45967.92786,-97.33839658,49.88262919,221,45967.92786,-97.33839658,49.88262919,-87.69,45967.92786,-97.33839658,49.88262919,11.92,45967.92786,-97.33839658,49.88262919,-10.14
45967.92787,-97.3384015,49.88263704,221,45967.92787,-97.3384015,49.88263704,-85.49,45967.92787,-97.3384015,49.88263704,12.12,45967.92787,-97.3384015,49.88263704,-9.36
45967.92788,-97.33840355,49.88264062,221,45967.92788,-97.33840355,49.88264062,-85.4,45967.92788,-97.33840355,49.88264062,14.08,45967.92788,-97.33840355,49.88264062,-9.82
45967.92789,-97.33840419,49.88264262,221,45967.92789,-97.33840419,49.88264262,-82.31,45967.92789,-97.33840419,49.88264262,12.15,45967.92789,-97.33840419,49.88264262,-11.47
45967.9279,-97.33840474,49.88264433,221,45967.9279,-97.33840474,49.88264433,-85.08,45967.9279,-97.33840474,49.88264433,12.42,45967.9279,-97.33840474,49.88264433,-11.28
45967.92792,-97.33840526,49.88264594,221,45967.92792,-97.33840526,49.88264594,-81.59,45967.92792,-97.33840526,49.88264594,11.93,45967.92792,-97.33840526,49.88264594,-10.54
45967.92793,-97.33840577,49.88264754,221,45967.92793,-97.33840577,49.88264754,-86.85,45967.92793,-97.33840577,49.88264754,11.77,45967.92793,-97.33840577,49.88264754,-14.01
45967.92794,-97.33840627,49.88264909,221,45967.92794,-97.33840627,49.88264909,-86.08,45967.92794,-97.33840627,49.88264909,9.32,45967.92794,-97.33840627,49.88264909,-15.87
45967.92795,-97.33840642,49.88264956,221,45967.92795,-97.33840642,49.88264956,-85.63,45967.92795,-97.33840642,49.88264956,13.58,45967.92795,-97.33840642,49.88264956,-16.82
45967.92796,-97.3383791,49.88265579,221,45967.92796,-97.3383791,49.88265579,-88.56,45967.92796,-97.3383791,49.88265579,12.16,45967.92796,-97.3383791,49.88265579,-14.07
45967.92797,-97.33836291,49.88265946,221,45967.92797,-97.33836291,49.88265946,-88.69,45967.92797,-97.33836291,49.88265946,9.94,45967.92797,-97.33836291,49.88265946,-16.19
45967.92799,-97.33834559,49.88266275,221,45967.92799,-97.33834559,49.88266275,-88.41,45967.92799,-97.33834559,49.88266275,10.73,45967.92799,-97.33834559,49.88266275,-16.61
45967.928,-97.33832786,49.88266513,221,45967.928,-97.33832786,49.88266513,-87.31,45967.928,-97.33832786,49.88266513,9.51,45967.928,-97.33832786,49.88266513,-16.82
45967.92801,-97.33830827,49.88266775,221,45967.92801,-97.33830827,49.88266775,-90.91,45967.92801,-97.33830827,49.88266775,12.63,45967.92801,-97.33830827,49.88266775,-16.75
